Date,btc_price,nasdaq_price,dxy_price,fed_rate
2021-08-23,49546.1484375,14942.650390625,92.95999908447266,0.09
2021-08-24,47706.1171875,15019.7998046875,92.88999938964844,0.09
2021-08-25,48960.7890625,15041.8603515625,92.83000183105469,0.09
2021-08-26,46942.21875,14945.8095703125,93.05999755859375,0.09
2021-08-27,49058.66796875,15129.5,92.69000244140625,0.09
2021-08-30,47054.984375,15265.8896484375,92.6500015258789,0.09
2021-08-31,47166.6875,15259.240234375,92.62999725341797,0.09
2021-09-01,48847.02734375,15309.3798828125,92.44999694824219,0.08
2021-09-02,49327.72265625,15331.1796875,92.2300033569336,0.08
2021-09-03,50025.375,15363.51953125,92.04000091552734,0.08
2021-09-07,46811.12890625,15374.330078125,92.5199966430664,0.08
2021-09-08,46091.390625,15286.6396484375,92.6500015258789,0.08
2021-09-09,46391.421875,15248.25,92.4800033569336,0.08
2021-09-10,44883.91015625,15115.490234375,92.58000183105469,0.08
2021-09-13,44963.07421875,15105.580078125,92.62000274658203,0.08
2021-09-14,47092.4921875,15037.759765625,92.6500015258789,0.08
2021-09-15,48176.34765625,15161.5302734375,92.48999786376953,0.08
2021-09-16,47783.359375,15181.919921875,92.86000061035156,0.08
2021-09-17,47267.51953125,15043.9697265625,93.19999694824219,0.08
2021-09-20,42843.80078125,14713.900390625,93.23999786376953,0.08
2021-09-21,40693.67578125,14746.400390625,93.19999694824219,0.08
2021-09-22,43574.5078125,14896.849609375,93.45999908447266,0.08
2021-09-23,44895.09765625,15052.240234375,93.0999984741211,0.08
2021-09-24,42839.75,15047.7001953125,93.33000183105469,0.08
2021-09-27,42235.73046875,14969.9697265625,93.37999725341797,0.08
2021-09-28,41034.54296875,14546.6796875,93.7699966430664,0.08
2021-09-29,41564.36328125,14512.4404296875,94.33999633789062,0.08
2021-09-30,43790.89453125,14448.580078125,94.25,0.08
2021-10-01,48116.94140625,14566.7001953125,94.04000091552734,0.08
2021-10-04,49112.90234375,14255.48046875,93.80999755859375,0.08
2021-10-05,51514.8125,14433.830078125,93.9800033569336,0.08
2021-10-06,55361.44921875,14501.91015625,94.2699966430664,0.08
2021-10-07,53805.984375,14654.01953125,94.22000122070312,0.08
2021-10-08,53967.84765625,14579.5400390625,94.06999969482422,0.08
2021-10-11,57484.7890625,14486.2001953125,94.31999969482422,0.08
2021-10-12,56041.05859375,14465.919921875,94.5199966430664,0.08
2021-10-13,57401.09765625,14571.6396484375,94.08000183105469,0.08
2021-10-14,57321.5234375,14823.4296875,93.95999908447266,0.08
2021-10-15,61593.94921875,14897.33984375,93.94000244140625,0.08
2021-10-18,62026.078125,15021.8095703125,93.94999694824219,0.08
2021-10-19,64261.9921875,15129.08984375,93.79000091552734,0.08
2021-10-20,65992.8359375,15121.6796875,93.55999755859375,0.08
2021-10-21,62210.171875,15215.7001953125,93.7699966430664,0.08
2021-10-22,60692.265625,15090.2001953125,93.61000061035156,0.08
2021-10-25,63039.82421875,15226.7099609375,93.80999755859375,0.08
2021-10-26,60363.79296875,15235.7099609375,93.94999694824219,0.08
2021-10-27,58482.38671875,15235.83984375,93.86000061035156,0.08
2021-10-28,60622.13671875,15448.1201171875,93.3499984741211,0.08
2021-10-29,62227.96484375,15498.3896484375,94.12000274658203,0.08
2021-11-01,61004.40625,15595.919921875,93.87999725341797,0.08
2021-11-02,63226.40234375,15649.599609375,94.08999633789062,0.08
2021-11-03,62970.046875,15811.580078125,93.86000061035156,0.08
2021-11-04,61452.23046875,15940.3095703125,94.3499984741211,0.08
2021-11-05,61125.67578125,15971.58984375,94.31999969482422,0.08
2021-11-08,67566.828125,15982.3603515625,94.05000305175781,0.08
2021-11-09,66971.828125,15886.5400390625,93.95999908447266,0.08
2021-11-10,64995.23046875,15622.7099609375,94.8499984741211,0.08
2021-11-11,64949.9609375,15704.2802734375,95.18000030517578,0.08
2021-11-12,64155.94140625,15860.9599609375,95.12999725341797,0.08
2021-11-15,63557.87109375,15853.849609375,95.41000366210938,0.08
2021-11-16,60161.24609375,15973.8603515625,95.91999816894531,0.08
2021-11-17,60368.01171875,15921.5703125,95.83000183105469,0.08
2021-11-18,56942.13671875,15993.7099609375,95.54000091552734,0.08
2021-11-19,58119.578125,16057.4404296875,96.06999969482422,0.08
2021-11-22,56289.2890625,15854.759765625,96.5,0.08
2021-11-23,57569.07421875,15775.1396484375,96.48999786376953,0.08
2021-11-24,56280.42578125,15845.23046875,96.83999633789062,0.08
2021-11-26,53569.765625,15491.66015625,96.08999633789062,0.08
2021-11-29,57806.56640625,15782.830078125,96.33999633789062,0.08
2021-11-30,57005.42578125,15537.6904296875,95.98999786376953,0.08
2021-12-01,57229.828125,15254.0498046875,96.05000305175781,0.08
2021-12-02,56477.81640625,15381.3203125,96.12999725341797,0.08
2021-12-03,53598.24609375,15085.4697265625,96.12000274658203,0.08
2021-12-06,50582.625,15225.150390625,96.29000091552734,0.08
2021-12-07,50700.0859375,15686.919921875,96.37000274658203,0.08
2021-12-08,50504.796875,15786.990234375,95.88999938964844,0.08
2021-12-09,47672.12109375,15517.3701171875,96.2699966430664,0.08
2021-12-10,47243.3046875,15630.599609375,96.05000305175781,0.08
2021-12-13,46737.48046875,15413.2802734375,96.31999969482422,0.08
2021-12-14,46612.6328125,15237.6396484375,96.56999969482422,0.08
2021-12-15,48896.72265625,15565.580078125,96.51000213623047,0.08
2021-12-16,47665.42578125,15180.4296875,96.04000091552734,0.08
2021-12-17,46202.14453125,15169.6796875,96.56999969482422,0.08
2021-12-20,46880.27734375,14980.9404296875,96.55000305175781,0.08
2021-12-21,48936.61328125,15341.08984375,96.48999786376953,0.08
2021-12-22,48628.51171875,15521.8896484375,96.08000183105469,0.08
2021-12-23,50784.5390625,15653.3701171875,96.0199966430664,0.08
2021-12-27,50640.41796875,15871.259765625,96.08999633789062,0.08
2021-12-28,47588.85546875,15781.7197265625,96.19999694824219,0.08
2021-12-29,46444.7109375,15766.2197265625,95.93000030517578,0.08
2021-12-30,47178.125,15741.5595703125,95.97000122070312,0.08
2021-12-31,46306.4453125,15644.9697265625,95.66999816894531,0.08
2022-01-03,46458.1171875,15832.7998046875,96.23999786376953,0.08
2022-01-04,45897.57421875,15622.7197265625,96.29000091552734,0.08
2022-01-05,43569.00390625,15100.169921875,96.19000244140625,0.08
2022-01-06,43160.9296875,15080.8603515625,96.25,0.08
2022-01-07,41557.90234375,14935.900390625,95.73999786376953,0.08
2022-01-10,41821.26171875,14942.830078125,95.98999786376953,0.08
2022-01-11,42735.85546875,15153.4501953125,95.62000274658203,0.08
2022-01-12,43949.1015625,15188.3896484375,95.0,0.08
2022-01-13,42591.5703125,14806.8095703125,94.79000091552734,0.08
2022-01-14,43099.69921875,14893.75,95.16999816894531,0.08
2022-01-18,42375.6328125,14506.900390625,95.7300033569336,0.08
2022-01-19,41744.328125,14340.259765625,95.51000213623047,0.08
2022-01-20,40680.41796875,14154.01953125,95.73999786376953,0.08
2022-01-21,36457.31640625,13768.919921875,95.63999938964844,0.08
2022-01-24,36654.328125,13855.1298828125,95.91999816894531,0.08
2022-01-25,36954.00390625,13539.2900390625,95.94999694824219,0.08
2022-01-26,36852.12109375,13542.1201171875,96.48999786376953,0.08
2022-01-27,37138.234375,13352.7802734375,97.26000213623047,0.08
2022-01-28,37784.33203125,13770.5703125,97.2699966430664,0.08
2022-01-31,38483.125,14239.8798828125,96.54000091552734,0.08
2022-02-01,38743.2734375,14346.0,96.38999938964844,0.08
2022-02-02,36952.984375,14417.5498046875,95.94000244140625,0.08
2022-02-03,37154.6015625,13878.8203125,95.37999725341797,0.08
2022-02-04,41500.875,14098.009765625,95.4800033569336,0.08
2022-02-07,43840.28515625,14015.669921875,95.4000015258789,0.08
2022-02-08,44118.4453125,14194.4501953125,95.63999938964844,0.08
2022-02-09,44338.796875,14490.3701171875,95.48999786376953,0.08
2022-02-10,43565.11328125,14185.6396484375,95.55000305175781,0.08
2022-02-11,42407.9375,13791.150390625,96.08000183105469,0.08
2022-02-14,42586.91796875,13790.919921875,96.37000274658203,0.08
2022-02-15,44575.203125,14139.759765625,95.98999786376953,0.08
2022-02-16,43961.859375,14124.08984375,95.69999694824219,0.08
2022-02-17,40538.01171875,13716.7197265625,95.80000305175781,0.08
2022-02-18,40030.9765625,13548.0703125,96.04000091552734,0.08
2022-02-22,38286.02734375,13381.51953125,96.02999877929688,0.08
2022-02-23,37296.5703125,13037.490234375,96.19000244140625,0.08
2022-02-24,38332.609375,13473.58984375,97.13999938964844,0.08
2022-02-25,39214.21875,13694.6201171875,96.62000274658203,0.08
2022-02-28,43193.234375,13751.400390625,96.70999908447266,0.08
2022-03-01,44354.63671875,13532.4599609375,97.41000366210938,0.2
